date,open,high,low,close,volume
2023-10-13,1645.46,1652.59,1612.77,1625.58,25028
2023-10-16,1625.56,1630.58,1597.03,1604.48,20790
2023-10-17,1613.58,1614.02,1590.58,1600.58,14945
2023-10-18,1593.38,1616.58,1591.76,1602.58,20318
2023-10-19,1574.58,1574.61,1500.61,1504.58,73492
2023-10-20,1504.58,1529.58,1490.83,1519.58,45376
2023-10-23,1504.55,1534.58,1496.18,1518.56,25234
2023-10-24,1522.58,1527.94,1495.79,1517.53,29861
2023-10-25,1544.69,1572.58,1541.6,1552.08,36179
2023-10-26,1541.58,1562.58,1536.59,1546.81,22386
2023-10-27,1538.58,1566.46,1535.18,1551.29,34262
2023-10-30,1543.58,1563.46,1543.58,1555.58,24086
2023-10-31,1554.58,1564.58,1542.43,1559.16,19859
2023-11-01,1724.58,1724.58,1648.37,1655.57,93143
2023-11-02,1669.58,1669.58,1650.64,1654.08,27908
2023-11-03,1654.58,1689.47,1648.58,1685.82,30176
2023-11-06,1694.58,1698.37,1675.7,1686.58,25524
2023-11-07,1679.58,1684.58,1658.66,1665.75,19582
2023-11-08,1658.63,1678.38,1657.45,1672.92,14546
2023-11-09,1664.69,1673.58,1657.58,1668.69,12800
2023-11-10,1655.13,1662.58,1647.68,1650.42,16466
2023-11-13,1646.86,1659.46,1631.56,1638.58,18370
2023-11-14,1638.58,1649.57,1634.59,1639.85,12817
2023-11-15,1653.58,1657.47,1641.58,1647.51,18435
2023-11-16,1648.58,1650.58,1634.63,1634.63,12558
2023-11-17,1626.58,1633.58,1612.48,1628.0,21714
2023-11-20,1629.58,1644.08,1611.24,1637.08,18608
2023-11-21,1658.0,1672.58,1644.68,1664.58,30098
2023-11-22,1657.88,1668.93,1655.12,1656.09,12665
2023-11-23,1652.88,1662.58,1645.58,1660.58,11550
2023-11-24,1663.58,1663.58,1649.58,1651.58,13085
2023-11-27,1647.88,1647.88,1629.58,1637.58,16261
2023-11-28,1635.58,1648.46,1632.58,1643.62,14520
2023-11-29,1642.58,1650.58,1632.58,1649.29,17149
2023-11-30,1651.3,1669.34,1645.66,1666.08,21353
2023-12-01,1663.89,1664.28,1622.58,1634.86,33051
2023-12-04,1634.86,1636.41,1619.86,1625.29,18440
2023-12-05,1623.36,1623.46,1582.6,1583.58,29903
2023-12-06,1577.21,1594.05,1575.71,1577.58,23851
2023-12-07,1578.58,1583.66,1561.88,1574.58,25042
2023-12-08,1574.58,1583.42,1566.8,1579.5,26288
2023-12-11,1564.58,1578.58,1531.58,1572.58,36831
2023-12-12,1562.18,1584.57,1558.58,1584.57,21011
2023-12-13,1579.8,1580.3,1531.66,1534.58,38789
2023-12-14,1540.54,1544.45,1509.6,1510.48,40672
2023-12-15,1522.81,1552.35,1518.59,1519.58,37093
2023-12-18,1514.58,1537.91,1509.58,1536.58,19897
2023-12-19,1539.58,1554.45,1519.67,1549.58,22207
2023-12-20,1551.68,1553.68,1536.68,1543.47,23092
2023-12-21,1533.69,1566.0,1533.69,1563.68,29012
2023-12-22,1563.38,1572.78,1551.69,1564.33,21667
2023-12-25,1564.68,1572.28,1561.68,1565.68,12471
2023-12-26,1566.18,1568.58,1551.18,1563.68,14771
2023-12-27,1561.68,1570.83,1554.68,1560.74,16056
2023-12-28,1564.67,1621.67,1560.74,1618.67,38338
2023-12-29,1613.68,1643.26,1613.68,1619.68,27539
2024-01-02,1608.68,1611.87,1571.78,1578.69,32156
2024-01-03,1574.79,1588.9,1570.01,1587.68,20229
2024-01-04,1586.68,1586.68,1556.61,1562.68,21551
2024-01-05,1555.01,1572.34,1545.79,1557.04,20243
